year,sentinel2_ndvi,sentinel2_image_count,partial_year
2017,,0,True
2018,0.4974012806757215,5,False
2019,0.500950937862204,101,False
2020,0.5061742522356306,110,False
2021,0.492608821079019,114,False
2022,0.5247201236090752,83,False
2023,0.5122463986047877,83,False
2024,0.49929748451026784,98,False
2025,0.5088400594456872,99,False
2026,0.4925209640481065,43,True
