year,NDVI,MNDWI,NBR,image_count,partial_year
2000,0.5249785220063556,-0.2621223336516153,0.4945813524816265,31,False
2001,0.5189612986353513,-0.22195195840284196,0.5167178316982909,33,False
2002,0.5135209718815349,-0.20069087540404817,0.5188480172160701,31,False
2003,0.519372834775987,-0.24511968812122942,0.5036317724564566,28,False
2004,0.517646473672452,-0.21959155047343265,0.5259584079699767,34,False
2005,0.4948003921414271,-0.20792454611261013,0.5042991312679487,27,False
2006,0.5016992613368393,-0.19507678406701595,0.5085892002556895,30,False
2007,0.4941501550356991,-0.1751278851060541,0.5277092595437372,22,False
2008,0.5027723059911108,-0.20991273154977502,0.5059214370679408,37,False
2009,0.5141349335292661,-0.21441135125978714,0.5181605754962555,36,False
2010,0.5123699866723733,-0.20101840063598728,0.5237978359906326,25,False
2011,0.521583631579806,-0.20400690411250247,0.5098332184701454,17,False
2012,0.5048322081032015,-0.23553791120395695,0.4848520104049006,14,False
2013,0.5453051501305987,-0.2839292706600845,0.4564151736875508,26,False
2014,0.5425374859246945,-0.2742882445309783,0.30637990511435303,35,False
2015,0.5395775723132494,-0.26475270416695607,0.39121658065436277,38,False
2016,0.5498529395618589,-0.2942939951659376,0.4098816221125399,33,False
2017,0.5415837258183624,-0.27832336234270966,0.4583912396124921,34,False
2018,0.5506363032762238,-0.2704187420085432,0.30029176830788756,37,False
2019,0.5550728791258868,-0.2846664484772071,0.4317834084694574,35,False
2020,0.5704980621394393,-0.29736730759111774,0.4238928047292426,40,False
2021,0.5611395112324357,-0.25354335523705607,0.3683530337744096,43,False
2022,0.5897888824315474,-0.36254404590892964,0.28448259822443683,54,False
2023,0.5675358406727867,-0.3187909870640427,0.24932399549508968,59,False
2024,0.5603166061225469,-0.3164806550008576,0.13258506909894444,38,False
2025,0.5418687448556964,-0.30328723716305983,0.13101506966722046,33,False
2026,0.6065291697722422,-0.3776489537763066,0.14584863895029665,14,True
